title,release_year,author_pri,author_sec,own_it,read_it,series_id
Storm Front,2000,2,1, true, true,3
Full Moon,2001,2,1, true, true,3
Grave Peril,2001,2,1, true, true,3
Summer Knight,2002,2,1, true, true,3
Death Masks,2003,2,1, true, true,3
Blood Rites,2004,2,1, true, true,3
Dead Beat,2006,2,1, true, true,3
Proven Guilty,2007,2,1, true, true,3
White Knight,2008,2,1, true, true,3
Small Favor,2009,2,1, true, true,3
Turn Coat,2010,2,1, true, true,3
Changes,2011,2,1, true, true,3
Ghost Story,2012,2,1, true, true,3
Cold Days,2013,2,1, false, false,3
Skin Game,2014,2,1, false, false,3
Furies of Calderon,2004,2,1, false, true,4
Academ's Fury,2005,2,1, false, true,4
Cursor's Fury,2006,2,1, false, true,4
Captain's Fury,2007,2,1, false, true,4
Princep's Fury,2008,2,1, false, false,4
First Lord's Fury,2009,2,1, false, false,4
Cryptonomicon,1999,3,1, false, true,
The Hobbit,1937,5,1, false, true,
The Fellowship of the Ring,1054,5,1, false, true,
The Return of the King,1955,5,1, false, true,
The Two Towers,1954,5,1, false, true,
"I,  Alex Cross",2009,4,1, false, false,
Private,2010,4,1, false, true,
The Camel Club,2005,6,1, false, true,
King and Maxwell,2003,6,1, false, true,
Zoo,2012,4,7, false, true,
The Hit,2013,6,1, false, true,
Lifeguard,2005,4,8, false, true,
Private London,2011,4,9, false, true,
Private Vegas,2015,4,26, false, false,
Private L.A.,2015,4,27, false, false,
Private India,2014,4,28, false, false,
Private Games,2012,4,27, false, false,
Private Berlin,2013,4,27, false, true,
Private #1 Suspect,2012,4,26, false, true,
Killing Floor,1997,10,1, false, false,
Die Trying,1998,10,1, false, false,
Tripwire,1999,10,1, false, false,
Running Blind,2000,10,1, false, false,
Echo Burning,2001,10,1, false, false,
Without Fail,2002,10,1, false, false,
Persuader,2003,10,1, false, false,
The Enemy,2004,10,1, false, false,
One Shot,2005,10,1, false, false,
The Hard Way,2006,10,1, false, false,
Bad Luck and Trouble,2007,10,1, false, false,
Nothing To Lose,2008,10,1, false, false,
Gone Tomorrow,2009,10,1, false, false,
The Neon Rain,1987,13,1, false, false,
Heaven's Prisoners,1988,13,1, false, false,
Black Cherry Blues,1989,13,1, false, false,
A Morning for Flamingos,1990,13,1, false, false,
A Stained White Radiance,1992,13,1, false, false,
In the Electric Mist with Confederate Dead,1993,13,1, false, false,
Dixie City Jam,1994,13,1, false, false,
Burning Angel,1995,13,1, false, false,
Cadillac Jukebox,1996,13,1, false, false,
Sunset Limited,1998,13,1, false, false,
Purple Cane Road,2000,13,1, false, false,
Jolie Blon's Bounce,2002,13,1, false, false,
Last Car to Elysian Fields,2003,13,1, false, false,
Crusader's Cross,2005,13,1, false, false,
Pegasus Descending,2006,13,1, false, false,
The Tin Roof Blowdown,2007,13,1, false, false,
Swan Peak,2008,13,1, false, false,
The Glass Rainbow,2010,13,1, false, false,
Creole Belle,2012,13,1, false, false,
Light of the World,2013,13,1, false, false,
Death Without Company,2006,11,1, false, true,
The Cold Dish,2004,11,1, false, true,
Kindness Goes Unpunished,2007,11,1, false, true,
A Serpent's Tooth,2013,11,1, false, true,
Another Man's Moccasins,2008,11,1, false, true,
Junkyard Dogs,2010,11,1, false, true,
Hell Is Empty,2011,11,1, false, true,
The Dark Horse,2009,11,1, false, true,
As The Crow Flies,2012,11,1, false, true,
Spirit of Steamboat,2013,11,1, false, false,
Any Other Name,2014,11,1, false, false,
Private Down Under,2013,4,12, false, false,
Cimarron Rose,1997,13,1, false, false,
In the Moon of Red Ponies,2004,13,1, false, true,
"I, Michael Bennett",2012,4,7, false, true,
The Eye of the World,1984,14,1, false, true,
The Great Hunt,1990,14,1, false, true,
The Dragon Reborn,1991,14,1, false, true,
The Shadow Rising,1992,14,1, false, true,
The Fires of Heaven,1993,14,1, false, true,
Lord of Chaos,1994,14,1, false, true,
A Crown of Swords,1996,14,1, false, true,
The Path of Daggers,1998,14,1, false, true,
Winter's Heart,2000,14,1, false, true,
Crossroads of Twilight,2003,14,1, false, true,
Knife of Dreams,2005,14,1, false, true,
The Gathering Storm,2009,14,21, false, true,
Towers of Midnight,2010,14,21, false, true,
A Memory of Light,2013,14,21, false, false,
New Spring,2004,14,1, false, true,
Interview with the Vampire,1976,15,1, false, true,5
The Vampire Lestat,1985,15,1, false, true,5
The Queen of the Damned,1988,15,1, false, true,5
The Tale of the Body Thief,1992,15,1, false, true,5
Memnoch the Devil,1995,15,1, false, true,5
The Vampire Armand,1998,15,1, false, true,5
Merrick,2000,15,1, false, true,5
Blood and Gold,2001,15,1, false, true,5
Blackwood Farm,2002,15,1, false, true,5
Blood Canticle,2003,15,1, false, true,5
Prince Lestat,2014,15,1, false, true,5
The Witching Hour,1990,15,1, false, true,6
Lasher,1993,15,1, false, true,6
Taltos,1994,15,1, false, true,6
NYPD Red,2012,4,29, false, true,
NYPD Red 2,2014,4,29, false, false,
NYPD Red 3,2015,4,29, false, false,
Dune,1966,16,1, false, true,
Children of Dune,1976,16,1, false, true,
God Emperor of Dune,1981,16,1, false, true,
Dune Messiah,1969,16,1, false, true,
Heretics of Dune,1984,16,1, false, true,
Chapterhouse: Dune,1985,16,1, false, true,
Hunters of Dune,2006,24,25, false, true,
Sandworms of Dune,2007,24,25, false, true,
Dune: House Atreides,1999,24,25, false, true,
Dune: House Harkonnen,2000,24,25, false, true,
Dune: House Corrino,2001,24,25, false, true,
Dune: The Butlerian Jihad,2002,24,25, false, true,
Dune: The Machine Crusade,2003,24,25, false, true,
Dune: The Battle of Corrin,2004,24,25, false, true,
Paul of Dune,2008,24,25, false, true,
The Winds of Dune,2009,24,25, false, false,
The Throne of Dune,2004,24,25, false, false,
Leto of Dune,2004,24,25, false, false,
The Sisterhood of Dune,2012,24,25, false, false,
Mentats of Dune,2014,24,25, false, false,
The Swordmasters of Dune,2016,24,25, false, false,
Sahara,1992,17,1, false, false,
The Hunt for Red October,1984,18,1, false, false,
Harry Potter and the Philosopher's Stone,1997,19,1, false, false,
Harry Potter and the Chamber of Secrets,1998,19,1, false, false,
Harry Potter and the Prisoner of Azkaban,1999,19,1, false, false,
Harry Potter and the Goblet of Fire,2000,19,1, false, false,
Harry Potter and the Order of the Phoenix,2003,19,1, false, false,
Harry Potter and the Half-Blood Prince,2005,19,1, false, false,
Harry Potter and the Deathly Hallows,2007,19,1, false, false,
Twilight,2005,20,1, false, true,
New Moon,2006,20,1, false, true,
Eclipse,2007,20,1, false, true,
Breaking Dawn,2008,20,1, false, true,
The Fifth Assassin,2013,22,1, false, true,
The Book of Lies,2008,22,1, false, true,
The Book of Fate,2006,22,1, false, false ,
The Inner Circle,2011,22,1, false, false ,
Identity,1980,23,1, false, false,
Supremacy,1986,23,1, false, false,
Ultimatum,1990,23,1, false, false,
Lord Foul's Bane,1977,30,1, false, true,
Snow Crash,1984,3,1, true, true,
The Diamond Age,1995,3,1, true, true,
The Big U,1984,3,1, false, false,
Zodiac,1988,3,1, false, false,
QuickSilver,2003,3,1, true, false,
